attr_name	Tumor_breast_1	Tumor_breast_8	Tumor_breast_2	Tumor_breast_9	Tumor_breast_3	Tumor_breast_10	Tumor_breast_4	Tumor_breast_11	Tumor_breast_5	Tumor_breast_12	Tumor_breast_6	Tumor_breast_13	Tumor_breast_7	Tumor_breast_14	Tumor_breast_15
CNKSR2	4.08746284125034	5.7279204545632	5.61470984411521	3.70043971814109	1.58496250072116	6.12928301694497	5.97727992349992	5.20945336562895	4.32192809488736	4.8073549220576	6.14974711950468	5.61470984411521	6.02236781302845	4.8073549220576	4
FRMPD2B	0	0	2.8073549220576	0	2.32192809488736	0	0	0	0	1	2.58496250072116	0	0	1	1
FXYD4	3.4594316186373	1.58496250072116	0	1.58496250072116	2.32192809488736	4.08746284125034	1.58496250072116	1	1.58496250072116	0	1	2.8073549220576	0	2	3
GPM6A	4.32192809488736	3.58496250072116	3.8073549220576	2.32192809488736	2.32192809488736	3.16992500144231	1	1.58496250072116	0	2	6.2667865406949	5.52356195605701	4.16992500144231	4.52356195605701	3
FSIP1	3.32192809488736	9.80251636512122	12.1680452682241	11.9347965921784	5.70043971814109	3.70043971814109	3.16992500144231	10.2784494582205	3.16992500144231	12.1247675358225	12.4181161412075	5.55458885167764	6.02236781302845	8.43462822763673	11.7544699952756
LYZL2	2	0	5.24792751344359	2.58496250072116	1.58496250072116	0	1	4.90689059560852	0	1	0	5	0	0	0
KCNA6	2.58496250072116	5.20945336562895	2.32192809488736	4.08746284125034	3.8073549220576	0	1	4.24792751344359	3	3.70043971814109	5.70043971814109	2.32192809488736	4.8073549220576	4.95419631038687	2.8073549220576
THRSP	7.44294349584873	10.4450148458684	9.13442632022093	6.44294349584873	7.10852445677817	2	3.90689059560852	7.8073549220576	4.16992500144231	5.39231742277876	4.58496250072116	7.99435343685886	9.44501484586842	8.72109918870719	7.56224242422107
AKR1C2	5.90689059560852	9.62753388447279	9.62205181945638	6	6.20945336562895	14.0944901081443	8.6582114827518	6.18982455888002	7.18982455888002	4.95419631038687	5.75488750216347	5.52356195605701	5.6724253419715	9.29001884693262	8.18982455888002
ITIH2	3.8073549220576	4.16992500144231	4.90689059560852	3.58496250072116	1.58496250072116	2.58496250072116	4.90689059560852	2.8073549220576	2.32192809488736	3.16992500144231	4.4594316186373	4.90689059560852	4.39231742277876	5.52356195605701	1.58496250072116
TDO2	7.76155123244448	7.56985560833095	7.60733031374961	8.04984854945056	10.1861142395416	7.59245703726808	6.4757334309664	9.75488750216347	7.85174904141606	7.97727992349992	5.12928301694497	9.80251636512122	5.4262647547021	7.34872815423108	7.74146698640115
ASTN1	0	5.12928301694497	3.58496250072116	4	4.39231742277876	2	2	3.58496250072116	1	3.8073549220576	7.18982455888002	5.8073549220576	4	3.8073549220576	4.85798099512757
SPC25	8.64385618977473	7.76155123244448	9.01402047031493	8.28540221886225	8.36194377373524	8.38801728534514	9.66888498426625	9.68825030913318	8.44294349584873	8.13955135239879	9.32867492732795	8.50382573799575	8.61470984411521	8.43879185257826	8.90388184573618
PDE3B	7.17990909001493	6.61470984411521	8.53138146051631	7.54689445988764	8.95128471496697	9.67771964164101	7.60733031374961	7.52356195605701	6.95419631038687	7.88874324889826	7.85174904141606	5.83289001416474	8.1548181090521	9.00842862207058	8.21431912080077
GRIA4	2.58496250072116	6.96578428466209	3.32192809488736	2.8073549220576	4.52356195605701	1.58496250072116	1	1.58496250072116	2.58496250072116	1.58496250072116	5.52356195605701	3.8073549220576	3.16992500144231	5.49185309632967	3.58496250072116
DMP1	0	1.58496250072116	5.4262647547021	1.58496250072116	2.8073549220576	1	1	2.58496250072116	1.58496250072116	3.16992500144231	3.16992500144231	1	2.58496250072116	3	1
CAPSL	2.58496250072116	5.58496250072116	7.94251450533924	6.08746284125034	4.85798099512757	2	1.58496250072116	5.12928301694497	1.58496250072116	5.12928301694497	6.71424551766612	1.58496250072116	3	2.32192809488736	5.08746284125034
SLC16A12	2.8073549220576	2	3.70043971814109	4.58496250072116	3.16992500144231	1	1	2.8073549220576	2.58496250072116	5.24792751344359	4.70043971814109	2	5.8073549220576	3.58496250072116	3.58496250072116
BMP3	3.16992500144231	3.32192809488736	1	0	3.8073549220576	1.58496250072116	1	3.16992500144231	0	0	2.32192809488736	11.2413873639989	0	1	1
CPB1	5.64385618977472	8.29001884693262	21.9414882625127	13.0598514107708	5.49185309632967	1	0	7.96000193206808	2.32192809488736	18.6241993016137	12.6245670186749	8.10328780841202	3.70043971814109	5.16992500144231	2.32192809488736
CLGN	9.58683978796183	9.10590850857116	9.83605035505807	11.580729651599	9.84077792359505	4.24792751344359	5.85798099512757	4.64385618977472	2.32192809488736	9.18487534290828	10.7431513941125	12.9046346216682	10.7515440590891	11.5750664645787	9.52552080909507
SCN3A	2.8073549220576	3.70043971814109	4.75488750216347	4.08746284125034	4.4594316186373	2.58496250072116	3.90689059560852	3.90689059560852	4	3.4594316186373	6.16992500144231	4.8073549220576	5	5.04439411935845	5.16992500144231
FEZF2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
ADGRF4	2.8073549220576	5.75488750216347	6.4093909361377	3.4594316186373	5.4262647547021	8.39660478118186	0	2.8073549220576	5.35755200461808	4.75488750216347	4.32192809488736	4.16992500144231	2.32192809488736	3	3.8073549220576
FRMD1	4.64385618977472	1.58496250072116	5	0	1.58496250072116	0	5.61470984411521	5.64385618977472	1.58496250072116	0	4.39231742277876	1.58496250072116	2.8073549220576	4.16992500144231	3.16992500144231
C16orf89	5.39231742277876	6.24792751344359	9.84077792359505	7.53138146051631	10.8336807486547	2.32192809488736	6.06608919045777	5.24792751344359	6.56985560833095	5.24792751344359	7.84549005094437	6.22881869049588	7.4594316186373	7.15987133677839	5.32192809488736
SPHKAP	0	2.8073549220576	0	0	0	0	2.32192809488736	1.58496250072116	6.28540221886225	0	3	0	0	2.58496250072116	0
KCNJ16	1	4.8073549220576	4	1	2.32192809488736	1.58496250072116	5.7279204545632	1	1	0	4.16992500144231	3.32192809488736	2.32192809488736	4.95419631038687	2
